,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),TOOL_ID (#3),Tool (#1),Tool (#2),tool,tool (#1),TOOL,TOOL (#1),Tool (#3),TOOL (#2)
68,N,B,E,C,E0,215,A,3009,W,D,YX1,11,A
69,O,B,E,C,E0,1113,A,3009,W,D,YX1,14,A
70,O,A,E,C,E0,329,A,3009,W,D,YX1,6,A
71,O,A,N,D,N0,530,A,4106,V,B,YX1,9,B
72,O,A,N,D,N0,530,A,3009,V,B,YX1,10,B
73,N,A,N,D,N0,530,A,4106,V,B,YX1,6,B
74,M,A,E,D,E0,1113,A,3009,W,B,YX1,15,A
75,L,A,E,D,E0,530,A,4106,X,B,YX1,13,A
76,N,A,E,D,E0,1245,A,3009,U,D,YX1,12,A
77,O,A,E,D,E0,2823,A,4106,S,D,YX1,13,A
78,O,A,N,D,N0,1113,A,4147,W,B,YX1,10,B
79,L,B,E,D,E0,329,A,4147,X,B,YX1,10,A
80,M,B,E,D,E0,215,A,3009,W,B,YX1,10,A
81,M,B,E,D,E0,215,A,4106,W,B,YX1,7,A
82,L,B,E,D,E0,329,A,4147,X,B,YX1,8,A
83,M,B,E,C,E0,215,A,4147,X,D,YX1,8,A
84,M,B,E,C,E0,215,A,3009,X,D,YX1,8,A
85,O,B,E,D,E0,215,A,4147,W,D,YX1,12,A
86,O,B,E,D,E0,329,A,3009,X,D,YX1,11,A
87,O,A,E,D,E0,1018,A,3009,X,B,YX1,8,A
88,L,A,E,D,E0,329,A,4147,W,D,YX1,8,A
89,N,A,E,D,E0,215,A,3009,W,D,YX1,10,A
90,N,A,E,D,E0,329,A,3009,X,D,YX1,6,A
91,O,A,E,D,E0,215,A,4147,V,D,YX1,6,A
92,O,A,E,D,E0,530,A,4147,V,D,XY1,1,B
93,N,A,E,D,E0,1245,A,3009,X,B,YX1,14,A
94,L,A,E,D,E0,2823,A,4147,V,B,YX1,15,A
95,O,A,E,D,E0,1110,A,3009,W,B,YX1,15,A
96,O,B,N,D,N0,329,B,3009,X,D,YX1,15,A
97,N,A,E,D,E0,2823,A,3009,V,B,YX1,15,A
98,K,B,E,C,E0,215,A,3009,W,D,YX1,7,A
99,L,A,E,D,E0,1110,A,4147,W,B,YX1,11,A
